TeamOne,TeamTwo,Winner
Duke,North Dakota St,Duke
Michigan State,Bradley,Michigan State
LSU,Yale,LSU
Virginia Tech,Saint Louis,Virginia Tech
Mississippi St,Liberty,Mississippi St
Maryland,Belmont,Maryland
Louisville,Minnesota,Minnesota
VCU,UCF,VCU
Gonzaga,FDU,Gonzaga
Michigan,Montana,Michigan
Texas Tech,N Kentucky,Texas Tech
Florida St,Vermont,Florida St
Marquette,Murray State,Murray State
Buffalo,ASU,Buffalo
Nevada,Florida,Florida
Syracuse,Baylor,Syracuse
Virginia,Gardner-Webb,Virginia
Tennessee,Colgate,Tennessee
Purdue,Old Dominion,Purdue
Kansas State,UC Irvine,Kansas State
Wisconsin,Oregon,Wisconsin
Villanova,Saint Marys,Saint Marys
Cincinnati,Iowa,Iowa
Ole Miss,Oklahoma,Oklahoma
North Carolina,Iona,North Carolina
Kentucky,Abil Christian,Kentucky
Houston,Georgia State,Houston
Kansas,Notheastern,Kansas
Auburn,New Mexico St,Auburn
Iowa State,Ohio State,Iowa State
Wofford,Seton Hall,Seton Hall
Utah State,Washington,Utah State
Duke,VCU,Duke
Michigan State,Minnesota,Michigan State
LSU,Maryland,Maryland
Virginia Tech,Mississippi St,Virginia Tech
Gonzaga,Syracuse,Gonzaga
Michigan,Florida,Michigan
Texas Tech,Buffalo,Buffalo
Florida St,Murray State,Murray State
Virginia,Oklahoma,Virginia
Tennessee,Iowa,Tennessee
Purdue,Saint Marys,Purdue
Kansas State,Wisconsin,Wisconsin
North Carolina,Utah State,North Carolina
Kentucky,Seton Hall,Kentucky
Houston,Iowa State,Iowa State
Kansas,Auburn,Auburn
Duke,Virginia Tech,Duke
Michigan State,Maryland,Michigan State
Gonzaga,Murray State,Gonzaga
Michigan,Buffalo,Buffalo
Virginia,Wisconsin,Virginia
Tennessee,Purdue,Purdue
North Carolina,Auburn,Auburn
Kentucky,Iowa State,Kentucky
Duke,Michigan State,Duke
Gonzaga,Buffalo,Gonzaga
Virginia,Purdue,Virginia
Auburn,Kentucky,Auburn
Duke,Gonzaga,Duke
Virginia,Auburn,Virginia
Duke,Virginia,Duke
